DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
UL	0.112857	11	2	3	4	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.113089	11	3	0	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.113143	11	3	0	5	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.113321	11	3	1	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.113375	11	3	1	4	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.113589	11	3	2	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.113625	11	3	2	5	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.113821	11	3	3	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.113839	11	3	3	4	1	1	1	0	1029	18	0	12.3225 	0	0.000669063
DL	0.114089	11	4	0	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.114125	11	4	0	5	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.114321	11	4	1	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.114375	11	4	1	4	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.114589	11	4	2	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.114661	11	4	2	5	4	1	1	0	4113	18	0	12.3225 	0	0.00200585
DL	0.114821	11	4	3	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.114875	11	4	3	4	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.115089	11	5	0	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.115125	11	5	0	5	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.115321	11	5	1	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.115339	11	5	1	4	1	1	1	0	1029	18	0	12.3225 	0	0.000669063
DL	0.115589	11	5	2	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.115625	11	5	2	5	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.115821	11	5	3	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.115875	11	5	3	4	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.116089	11	6	0	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.116179	11	6	0	5	5	1	1	0	5142	18	0	12.3225 	0	0.00233976
DL	0.116321	11	6	1	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.116393	11	6	1	4	4	1	1	0	4113	18	0	12.3225 	0	0.00200585
DL	0.116589	11	6	2	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.116625	11	6	2	5	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.116821	11	6	3	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
DL	0.117089	11	7	0	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.117125	11	7	0	5	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.117321	11	7	1	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.117393	11	7	1	4	4	1	1	0	4113	18	0	12.3225 	0	0.00200585
DL	0.117589	11	7	2	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.117696	11	7	2	5	6	1	1	0	6168	18	0	12.3225 	0	0.00300726
DL	0.117821	11	7	3	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.117875	11	7	3	4	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.118089	11	8	0	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.118125	11	8	0	5	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.118321	11	8	1	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.118339	11	8	1	4	1	1	1	0	1029	18	0	12.3225 	0	0.000669063
DL	0.118589	11	8	2	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.118625	11	8	2	5	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.118821	11	8	3	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.118875	11	8	3	4	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.119089	11	9	0	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.119161	11	9	0	5	4	1	1	0	4113	18	0	12.3225 	0	0.00200585
DL	0.119321	11	9	1	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.119375	11	9	1	4	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.119589	11	9	2	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.119625	11	9	2	5	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.119821	11	9	3	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.119839	11	9	3	4	1	1	1	0	1029	18	0	12.3225 	0	0.000669063
DL	0.120089	12	0	0	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.120125	12	0	0	5	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.120321	12	0	1	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.120375	12	0	1	4	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.120589	12	0	2	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.120661	12	0	2	5	4	1	1	0	4113	18	0	12.3225 	0	0.00200585
DL	0.120821	12	0	3	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.120875	12	0	3	4	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.121089	12	1	0	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.121143	12	1	0	5	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.121321	12	1	1	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.121357	12	1	1	4	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
