1.00033	4	14.1577	2	36	0
1.00035	4	37.1427	2	36	0
1.00095	1	41.4119	2	36	0
1.00097	1	11.9045	2	36	0
1.00107	2	41.4622	1	36	28
1.00108	2	14.126	1	36	20
1.00119	3	11.9279	1	36	18
1.0012	3	37.1624	1	60	28
2.00026	4	15.1157	1	36	20
2.00026	4	37.18	1	36	28
2.00088	1	37.0165	1	36	28
2.00089	1	10.6767	1	36	18
2.00101	2	37.0431	1	36	28
2.00101	2	15.15	1	36	22
2.00113	3	37.1384	1	60	28
3.00019	4	38.4285	1	36	22
3.0002	4	38.8383	1	36	28
3.00082	1	30.1323	1	36	28
3.00083	1	37.6104	1	36	18
3.00094	2	30.1148	1	36	28
3.00095	2	38.9712	1	36	28
3.00107	3	38.7032	1	60	28
3.01107	3	38.5975	1	36	28
4.00013	4	35.085	1	36	28
4.00014	4	32.6429	1	36	28
4.00075	1	24.4597	1	36	28
4.00076	1	35.367	1	36	28
4.00088	2	24.475	1	36	28
4.00089	2	35.0251	1	36	28
4.001	3	33.966	1	36	28
4.00101	3	32.5438	1	60	28
5.00006	4	31.5718	1	36	28
5.00007	4	26.5681	1	36	28
5.00069	1	20.4064	1	36	28
5.0007	1	32.3647	1	36	28
5.00081	2	31.27	1	36	28
5.00094	3	29.4855	1	36	28
5.00095	3	26.3855	1	60	28
6.00062	1	16.8302	1	36	28
6.00063	1	29.3307	1	36	28
6.00087	3	26.4684	1	36	28
6.001	4	29.229	1	36	28
6.00101	4	22.9971	1	36	28
6.00175	2	29.3544	1	36	28
6.00187	3	21.851	1	60	28
7.00056	1	14.3706	1	36	28
7.00057	1	25.9683	1	36	28
7.00081	3	15.3077	1	36	28
7.00094	4	26.6198	1	36	28
7.00094	4	18.6668	1	36	28
7.00169	2	26.6312	1	36	28
8.0005	1	14.2899	1	36	28
8.00051	1	16.9274	1	36	20
8.00075	3	24.6662	1	36	22
8.00087	4	27.5629	1	36	28
8.00088	4	17.6202	1	36	28
8.00162	2	27.5697	1	36	28
9.00043	1	16.2	1	36	28
9.00044	1	12.1485	1	36	28
9.00081	4	26.9978	1	36	28
9.00082	4	17.1204	1	36	28
9.00156	2	27.0745	1	36	28
10.0004	1	21.5797	1	36	28
10.0004	1	18.9445	1	36	28
10.0007	4	27.2722	1	36	28
10.0008	4	17.8719	1	36	28
10.0015	2	27.2461	1	36	28
10.0105	2	21.2096	1	36	28
11.0003	1	33.5946	1	37	28
11.0003	1	24.1329	1	37	28
11.0004	2	33.6341	1	37	28
11.0007	4	27.1326	1	37	28
11.0007	4	20.4622	1	37	28
11.0014	2	27.1473	1	37	28
11.0106	3	27.0654	1	37	28
11.0116	3	19.1133	1	60	28
12.0002	1	26.2654	1	37	28
12.0002	1	27.0778	1	37	28
12.0004	2	26.2536	1	37	28
12.0005	3	25.7874	1	37	28
12.0006	4	26.8935	1	37	28
12.0006	4	27.7595	1	37	26
12.0014	2	26.8328	1	37	28
